id,Completed,Last page seen,Start language,Date last action,Date started,IP address,Referrer URL,What year are you?,What is your major?,"If you have a second major, what is it?",What is your gender?,[African American / Black] What racial/ethnic group do you identify with? Check all that apply.,[American Indian / Alaskan Native] What racial/ethnic group do you identify with? Check all that apply.,[Asian / Pacific Islander] What racial/ethnic group do you identify with? Check all that apply.,[Hispanic] What racial/ethnic group do you identify with? Check all that apply.,[White] What racial/ethnic group do you identify with? Check all that apply.,"[Domestic, Race/Ethnicity unknown] What racial/ethnic group do you identify with? Check all that apply.",[International] What racial/ethnic group do you identify with? Check all that apply.,What income bracket does your family fall into?,Please choose one,What is your status at UCLA?,What is your voting status?,"If you voted in the 2008 elections, which presidential candidate did you vote for?","If you did not vote in the 2008 elections, which presidential candidate did you support?","[Worked on a local, state, or national political campaign] Which of the following did you do last year? Check all that apply.",[Participated in student protests] Which of the following did you do last year? Check all that apply.,[Participated in a politically oriented student group] Which of the following did you do last year? Check all that apply.,What political party do you identify with?,Which presidential candidate are you planning to vote for in 2012?,Economy,Job Market,International affairs,Immigration,Education,Healthcare,Social issues,What is your current attitude toward the overall policies of President Obama?,What is your current attitude toward President Obama's education policies?,What is your current attitude toward President Obama's immigration policies?,Proposition 30,"On a 1-5 scale, how familiar are you with the tax measure?",How do you plan to vote on Proposition 30?,How do you think Proposition 30 will affect the UC?,Total time,Group time: General Information,Group time: Presidential Election,Group time: California tax measure
32,,0,en,2012-09-21 22:01:00,2012-09-21 22:01:00,164.67.69.112,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
33,,0,en,2012-09-22 21:41:00,2012-09-22 21:41:00,75.84.188.201,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
34,,2,en,2012-09-23 03:00:00,2012-09-23 02:59:00,72.87.242.193,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,72.18,51.12,21.06,0
35,,0,en,2012-09-23 21:25:00,2012-09-23 21:25:00,128.97.253.249,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
36,2012-09-24 16:05:00,3,en,2012-09-24 16:05:00,2012-09-24 16:03:00,76.169.48.38,,Third,English,Philosophy,Male,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I only have loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,Obama (Democratic Party),4,4,5,5,5,3,5,Strongly support,Support,Support,,5,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a strong positive impact.,116.77,58.14,40.6,18.03
37,,0,en,2012-09-24 16:04:00,2012-09-24 16:04:00,66.87.65.252,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
38,2012-09-24 16:07:00,3,en,2012-09-24 16:07:00,2012-09-24 16:04:00,198.72.192.232,,Fifth or above,Chemistry,"Mathematics, Applied",Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Democrat,Obama (Democratic Party),4,4,4,4,4,5,5,Support,I don't know enough about the president's policies to answer this question.,Support,,3,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,186.6,77.8,68.93,39.87
39,2012-09-24 16:09:00,3,en,2012-09-24 16:09:00,2012-09-24 16:04:00,71.189.1.3,http://sn137w.snt137.mail.live.com/mail/InboxLight.aspx?n=309081037,Fifth or above,History,Political Science,Male,False,False,True,False,False,False,False,"Annual income of $80,000 or less",I only have loans,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Independent,Obama (Democratic Party),5,5,5,5,5,5,3,Support,Support,Support,,4,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,301.26,134.37,78.22,88.67
40,2012-09-24 16:18:00,3,en,2012-09-24 16:18:00,2012-09-24 16:06:00,174.254.55.150,,Third,History,,Female,False,False,False,True,False,False,False,"Annual income between $80,000 - $120,000",I only have financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,Obama (Democratic Party),5,5,5,5,5,5,5,Support,Neutral,Neutral,,2,I am undecided.,I do not know enough about Proposition 30.,729.58,159.44,122.86,447.28
41,,0,en,2012-09-24 16:06:00,2012-09-24 16:06:00,169.232.235.104,http://m0.mail.sina.com.cn/pad/index.php,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
42,,1,en,2012-09-24 16:12:00,2012-09-24 16:10:00,66.87.65.252,,Second,Sociology,,Female,True,False,False,False,False,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Democrat,,,,,,,,,,,,,,,,148.07,148.07,0,0
43,2012-09-24 16:14:00,3,en,2012-09-24 16:14:00,2012-09-24 16:10:00,169.232.247.218,,Fourth,Political Science,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),True,True,True,Democrat,Obama (Democratic Party),5,3,5,5,5,5,5,Support,Strongly support,Support,,4,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,276.12,50.4,99.37,126.35
44,2012-09-24 16:15:00,3,en,2012-09-24 16:15:00,2012-09-24 16:11:00,164.67.154.24,,First,Business Economics,Psychology,Male,False,False,True,False,False,False,False,"Annual income of $80,000 or less",I have neither financial aid nor loans,International,I am ineligible to vote in the U.S.,I didn't vote in the 2008 elections,Other,False,False,False,none of the above,I am not planning to vote in the 2012 elections.,1,1,1,1,1,1,1,I don't know enough about the president's policies to answer this question.,I don't know enough about the president's policies to answer this question.,I don't know enough about the president's policies to answer this question.,,1,I am not going to vote.,I do not know enough about Proposition 30.,213.16,128.8,40.76,43.6
45,2012-09-24 16:15:00,3,en,2012-09-24 16:15:00,2012-09-24 16:11:00,169.232.117.62,,Second,Bioengineering,,Female,False,False,True,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,"I am not a registered U.S. voter, but I plan to register before the 2012 elections.",I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,Obama (Democratic Party),4,5,5,3,5,5,4,Support,Strongly support,Strongly support,,4,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,218.73,95.43,66.88,56.42
46,2012-09-24 16:15:00,3,en,2012-09-24 16:15:00,2012-09-24 16:12:00,164.67.109.101,,Second,Computational and Systems Biology,"Mathematics, Applied",Male,False,False,True,False,False,False,False,"Annual income between $80,000 - $120,000",I only have financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),True,False,False,Democrat,Obama (Democratic Party),5,5,4,3,5,5,5,Strongly support,Support,Against,,5,I am undecided.,Proposition 30 will have a positive impact.,199.31,105.7,59.52,34.09
47,2012-09-24 16:16:00,3,en,2012-09-24 16:16:00,2012-09-24 16:14:00,198.228.217.159,,First,Biochemistry,,Male,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,International,I am ineligible to vote in the U.S.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,I am not planning to vote in the 2012 elections.,4,4,3,3,4,4,5,Strongly support,Strongly support,Neutral,,3,I am not going to vote.,I do not know enough about Proposition 30.,159.91,60.33,63.29,36.29
48,,1,en,2012-09-24 16:16:00,2012-09-24 16:15:00,68.4.73.47,http://36ohk6dgmcd1n-c.c.yom.mail.yahoo.net/om/api/1.0/openmail.app.invoke/36ohk6dgmcd1n/11/1.0.35/us/en-US/view.html/0,Fourth,Art,,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Green,,,,,,,,,,,,,,,,54.13,54.13,0,0
49,2012-09-24 16:21:00,3,en,2012-09-24 16:21:00,2012-09-24 16:16:00,66.87.2.98,,Second,Undeclared - Life Sciences,,Male,False,False,True,False,False,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,I am ineligible to vote in the U.S.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,I am not planning to vote in the 2012 elections.,4,5,3,3,4,4,4,Neutral,Neutral,I don't know enough about the president's policies to answer this question.,,1,I am not going to vote.,Proposition 30 will have a positive impact.,292.83,127.53,104.28,61.02
50,,2,en,2012-09-24 16:20:00,2012-09-24 16:18:00,24.7.108.10,http://bl170w.blu170.mail.live.com/mail/InboxLight.aspx?n=1223220405,Fourth,English,,Female,False,False,False,True,False,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,True,Democrat,Obama (Democratic Party),3,3,4,5,5,4,5,Strongly support,Strongly support,Strongly support,,,,,106.96,76,30.96,0
51,,0,en,2012-09-24 16:18:00,2012-09-24 16:18:00,98.148.199.172,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
52,2012-09-24 16:26:00,3,en,2012-09-24 16:26:00,2012-09-24 16:22:00,164.67.206.104,,First,Undeclared - Humanities,Undeclared - Social Sciences,Female,False,False,False,True,False,False,True,"Annual income between $80,000 - $120,000",I have both loans and financial aid,International,"I am not a registered U.S. voter, but I plan to register before the 2012 elections.",I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,Obama (Democratic Party),5,5,3,3,4,5,5,Neutral,Support,I don't know enough about the president's policies to answer this question.,,2,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,230.81,151.34,48.44,31.03
53,2012-09-24 16:31:00,3,en,2012-09-24 16:31:00,2012-09-24 16:22:00,173.51.74.194,,Third,Sociology,Undeclared - Social Sciences,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,McCain (Republican Party),,False,False,True,Republican,Romney (Republican Party),5,5,5,4,5,3,3,Strongly against,Against,Neutral,,4,I am undecided.,Proposition 30 will have no impact.,541.98,149.57,123.78,268.63
54,2012-09-24 16:33:00,3,en,2012-09-24 16:33:00,2012-09-24 16:23:00,169.232.110.85,,Second,Chemistry/Materials Science,,Male,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Independent,Obama (Democratic Party),4,4,1,3,5,4,2,Neutral,Neutral,Neutral,,1,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,595.37,305.15,173.45,116.77
55,2012-09-24 16:25:00,3,en,2012-09-24 16:25:00,2012-09-24 16:23:00,67.49.112.151,http://36ohk6dgmcd1n-c.c.yom.mail.yahoo.net/om/api/1.0/openmail.app.invoke/36ohk6dgmcd1n/11/1.0.35/us/en-US/view.html/0,Fourth,Anthropology,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,Out-of-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,none of the above,Obama (Democratic Party),5,5,5,4,5,5,5,Strongly support,Strongly support,Strongly support,,1,"I will vote yes on Proposition 30, which would result in a tax increase.",I do not know enough about Proposition 30.,127.9,53.25,42.09,32.56
56,2012-09-24 16:27:00,3,en,2012-09-24 16:27:00,2012-09-24 16:23:00,74.213.226.205,,Fourth,Psychology,,Female,False,False,True,False,False,False,False,"Annual income between $80,000 - $120,000",I only have financial aid,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Democrat,Obama (Democratic Party),5,5,4,3,5,5,5,Strongly support,Strongly support,Support,,3,"I will vote yes on Proposition 30, which would result in a tax increase.",I do not know enough about Proposition 30.,227.11,95.08,86.98,45.05
57,,1,en,2012-09-24 16:26:00,2012-09-24 16:25:00,169.232.237.188,,First,Computer Science and Engineering,Economics,Male,False,False,True,False,False,False,True,"Annual income over $120,000",I have neither financial aid nor loans,International,I am ineligible to vote in the U.S.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,none of the above,,,,,,,,,,,,,,,,89.52,89.52,0,0
58,2012-09-24 16:30:00,3,en,2012-09-24 16:30:00,2012-09-24 16:25:00,66.87.65.173,,Second,International Development Studies,Arabic,Male,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,McCain (Republican Party),True,True,True,Democrat,Obama (Democratic Party),5,3,5,3,5,5,3,Strongly support,Strongly support,Strongly support,,4,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,318.81,225.49,56.91,36.41
59,2012-09-24 16:30:00,3,en,2012-09-24 16:30:00,2012-09-24 16:26:00,198.228.216.25,,First,European Studies,,Female,False,False,False,False,False,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Other,False,False,False,none of the above,Other,5,5,5,3,5,3,5,Neutral,Neutral,Support,,2,I am undecided.,I do not know enough about Proposition 30.,272.15,118.4,82.9,70.85
60,2012-09-24 16:31:00,3,en,2012-09-24 16:31:00,2012-09-24 16:27:00,99.2.214.111,,Third,Anthropology,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am not a registered U.S. voter.,I didn't vote in the 2008 elections,Other,False,True,False,Libertarian,I am not planning to vote in the 2012 elections.,4,4,5,3,5,2,4,I don't know enough about the president's policies to answer this question.,I don't know enough about the president's policies to answer this question.,I don't know enough about the president's policies to answer this question.,,1,I am not going to vote.,I do not know enough about Proposition 30.,197.48,80.43,79.26,37.79
61,2012-09-24 16:32:00,3,en,2012-09-24 16:32:00,2012-09-24 16:28:00,149.142.229.64,,First,World Arts and Cultures,,Female,False,False,False,True,False,False,False,"Annual income of $80,000 or less",I don't know,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Independent,Obama (Democratic Party),5,5,5,5,5,5,5,Support,Strongly against,Support,,1,"I will vote no on Proposition 30, which would not result in a tax increase.",I do not know enough about Proposition 30.,238,109.61,66.11,62.28
62,2012-09-24 16:31:00,3,en,2012-09-24 16:31:00,2012-09-24 16:28:00,128.97.180.17,,First,Mechanical Engineering,,Male,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,True,Democrat,Obama (Democratic Party),5,5,4,3,4,2,3,Support,Support,Against,,2,I am undecided.,I do not know enough about Proposition 30.,168,91.73,54.15,22.12
63,,0,en,2012-09-24 16:29:00,2012-09-24 16:29:00,198.228.216.17,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
64,2012-09-24 16:32:00,3,en,2012-09-24 16:32:00,2012-09-24 16:29:00,198.72.200.153,,Third,Mechanical Engineering,,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Democrat,Obama (Democratic Party),5,5,5,3,5,5,5,Strongly support,Strongly support,Strongly support,,3,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,166.16,75.59,57.9,32.67
65,,0,en,2012-09-24 16:29:00,2012-09-24 16:29:00,70.197.139.168,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
